time,seconds_elapsed,bpm,Cybersickness
1763722820680990976,6.583581924,82,0
1763722825680990976,11.58358192,101,0
1763722830680990976,16.58358192,102,0
1763722835680990976,21.58358192,109,0
1763722840680991232,26.58358216,110,0
1763722841680990976,27.58358192,111,0
1763722846680991232,32.58358216,103,0
1763722853680991232,39.58358216,102,0
1763722859680991232,45.58358216,101,0
1763722864680990976,50.58358192,103,0
1763722867680990976,53.58358192,95,0
1763722875680990976,61.58358192,106,0
1763722878680990976,64.58358192,106,0
1763722883680991232,69.58358216,112,1
1763722890680990976,76.58358192,101,1
1763722894680990976,80.58358192,100,0
1763722899680990976,85.58358192,99,0
1763722901680990976,87.58358192,99,0
1763722906680990976,92.58358192,98,0
1763722915680990976,101.5835819,107,0
1763722920680990976,106.5835819,101,0
1763722925680990976,111.5835819,101,0
1763722930680990976,116.5835819,98,0
1763722931680990976,117.5835819,99,0
1763722940680990976,126.5835819,104,1
1763722941680990976,127.5835819,104,1
1763722948180990976,134.0835819,100,1
1763722954180990976,140.0835819,104,1
1763722960180990976,146.0835819,104,0
1763722962180990976,148.0835819,105,0
1763722970191471360,156.0940623,104,0
1763722969180990976,155.0835819,101,0
1763722974680990720,160.5835817,105,0
1763722979680990720,165.5835817,104,1
1763722983680990720,169.5835817,107,1
1763722988680990720,174.5835817,104,1
1763722995691201792,181.5937927,105,1
1763722997055991040,182.9585819,101,1
1763722998055991040,183.9585819,101,1
1763723003055991296,188.9585822,99,1
1763723011055991296,196.9585822,104,1
1763723015055991296,200.9585822,107,1
1763723021055991296,206.9585822,103,1
1763723027055991040,212.9585819,104,1
1763723031055991296,216.9585822,105,1
1763723033055991296,218.9585822,105,1
1763723040055991296,225.9585822,100,1
1763723044055991296,229.9585822,101,1
1763723050055991296,235.9585822,104,1
1763723057055991296,242.9585822,115,1
1763723058055991296,243.9585822,115,1
1763723063055991296,248.9585822,109,1
1763723072055991296,257.9585822,99,1
1763723074055991296,259.9585822,103,1
1763723081055991296,266.9585822,102,1
1763723087055991296,272.9585822,105,1
1763723091055991296,276.9585822,108,1
1763723093055991296,278.9585822,106,1
1763723102055991296,287.9585822,110,1
1763723105055991296,290.9585822,114,1
1763723110055991296,295.9585822,107,1
1763723113055991296,298.9585822,104,1
1763723118055991296,303.9585822,111,1
1763723127055991296,312.9585822,103,1
