time,seconds_elapsed,bpm,Cybersickness
1763968661203996672,6.882271767,86,0
1763968666203996672,11.88227177,89,0
1763968671203996672,16.88227177,89,0
1763968675203996672,20.88227177,87,0
1763968681203996672,26.88227177,83,0
1763968684203996672,29.88227177,84,0
1763968687203996672,32.88227177,84,0
1763968692203996672,37.88227177,84,0
1763968701203996672,46.88227177,96,0
1763968706203996672,51.88227177,90,0
1763968708203996672,53.88227177,91,0
1763968716203996672,61.88227177,85,0
1763968717203996672,62.88227177,85,0
1763968725203996672,70.88227177,83,0
1763968729203996672,74.88227177,84,0
1763968732203996672,77.88227177,84,0
1763968737203996672,82.88227177,83,0
1763968746203996672,91.88227177,84,0
1763968748203996672,93.88227177,84,0
1763968752203996672,97.88227177,89,0
1763968761203996672,106.8822718,93,0
1763968766203996672,111.8822718,86,0
1763968771203996672,116.8822718,84,0
1763968772203996672,117.8822718,84,0
1763968779203996672,124.8822718,83,0
1763968785203996672,130.8822718,85,0
1763968789203996672,134.8822718,85,0
1763968795203996672,140.8822718,86,0
1763968799203996672,144.8822718,86,0
1763968802203996672,147.8822718,88,0
1763968807203996672,152.8822718,93,0
1763968816203996672,161.8822718,93,0
1763968817203996672,162.8822718,91,0
1763968826203996672,171.8822718,84,0
1763968827203996672,172.8822718,84,0
1763968833203996672,178.8822718,85,0
1763968837203996672,182.8822718,83,0
1763968844203996672,189.8822718,84,0
1763968847203996672,192.8822718,84,0
1763968856203996672,201.8822718,90,0
1763968859203996672,204.8822718,88,0
1763968862203996672,207.8822718,91,0
1763968867203996672,212.8822718,92,0
1763968872203996672,217.8822718,89,0
1763968881203996672,226.8822718,87,0
1763968886203996672,231.8822718,87,0
1763968891203996672,236.8822718,88,0
1763968892203996672,237.8822718,88,0
1763968900203996672,245.8822718,84,0
1763968902203996672,247.8822718,84,0
1763968908203996672,253.8822718,85,0
1763968915203996672,260.8822718,91,0
1763968919203996672,264.8822718,94,0
1763968923203996672,268.8822718,91,0
1763968931203996672,276.8822718,97,1
1763968932203996672,277.8822718,97,1
1763968939203996672,284.8822718,102,1
1763968946203996672,291.8822718,97,1
1763968947203996672,292.8822718,96,1
1763968952203996672,297.8822718,94,0
1763968960203996672,305.8822718,89,0
1763968965203996672,310.8822718,88,0
1763968968179242496,313.8575175,89,0
1763968972179242496,317.8575175,90,0
1763968977179242496,322.8575175,91,0
