time,seconds_elapsed,bpm,Cybersickness
1763816734342242816,6.877736568,86,0
1763816739342242560,11.87773633,85,0
1763816744342242816,16.87773657,87,1
1763816745342242560,17.87773633,87,1
1763816752342242560,24.87773633,91,1
1763816759342242560,31.87773633,90,0
1763816762342242560,34.87773633,91,0
1763816766342242816,38.87773657,91,0
1763816771342242816,43.87773657,90,0
1763816778342242816,50.87773657,90,0
1763816781342242816,53.87773657,92,0
1763816788342242816,60.87773657,89,0
1763816790342242816,62.87773657,88,1
1763816797342242816,69.87773657,87,1
1763816800342242816,72.87773657,89,1
1763816809342242816,81.87773657,91,1
1763816814342242816,86.87773657,90,1
1763816815342242816,87.87773657,90,1
1763816822342242816,94.87773657,89,1
1763816826342242816,98.87773657,89,1
1763816831342242816,103.8777366,92,1
1763816839342242816,111.8777366,89,1
1763816844342242816,116.8777366,92,1
1763816846342242816,118.8777366,92,1
1763816854342242816,126.8777366,97,1
1763816856342242816,128.8777366,98,1
1763816863342242816,135.8777366,96,1
1763816868342242816,140.8777366,95,1
1763816870342242816,142.8777366,96,1
1763816876342242816,148.8777366,96,1
