time,seconds_elapsed,bpm,Cybersickness
1763822047396802816,6.587357044,65,0
1763822052396802816,11.58735704,65,0
1763822053396802816,12.58735704,67,0
1763822058396802816,17.58735704,72,0
1763822063396802816,22.58735704,74,0
1763822072396802816,31.58735704,81,0
1763822075396802816,34.58735704,81,0
1763822082896802816,42.08735704,83,0
1763822087896802816,47.08735704,87,0
1763822092896802816,52.08735704,89,0
1763822095896802816,55.08735704,88,0
1763822098896802816,58.08735704,83,0
1763822107896802816,67.08735704,73,0
1763822112896802816,72.08735704,70,0
1763822117896802816,77.08735704,70,0
1763822120896802816,80.08735704,69,0
1763822127896802816,87.08735704,68,0
1763822130896802816,90.08735704,68,0
1763822135896802816,95.08735704,67,0
1763822139896802816,99.08735704,67,0
1763822146896802816,106.087357,65,0
1763822151896802816,111.087357,65,0
1763822157896802816,117.087357,63,0
1763822161896802816,121.087357,63,0
1763822167896802816,127.087357,63,0
1763822170896802816,130.087357,63,0
1763822173896802816,133.087357,63,0
1763822178896802816,138.087357,65,0
1763822185896802816,145.087357,65,0
1763822189896802816,149.087357,66,0
1763822195896802816,155.087357,66,0
1763822198896802816,158.087357,66,0
1763822206896802816,166.087357,67,0
1763822210896802816,170.087357,67,0
1763822213896802816,173.087357,68,0
1763822222896802816,182.087357,71,0
1763822225896802816,185.087357,70,0
1763822231896802816,191.087357,71,0
1763822234896802816,194.087357,71,0
1763822240896802816,200.087357,68,0
1763822246896802816,206.087357,68,0
1763822249896802816,209.087357,68,0
1763822253896802816,213.087357,70,0
1763822262896802816,222.087357,72,1
1763822267896802816,227.087357,70,1
1763822268896802816,228.087357,71,1
1763822273896802816,233.087357,71,1
1763822280896802816,240.087357,78,1
1763822286896802816,246.087357,86,1
1763822288896802816,248.087357,87,1
1763822295896802816,255.087357,84,1
1763822302896802816,262.087357,87,1
1763822303896802816,263.087357,86,1
1763822311896802816,271.087357,81,1
1763822314896802816,274.087357,78,1
1763822322896802816,282.087357,82,1
1763822323896802816,283.087357,82,1
1763822329896802816,289.087357,88,1
1763822336896802816,296.087357,84,1
1763822342896802816,302.087357,83,1
1763822347896802816,307.087357,82,1
1763822351896802816,311.087357,79,1
1763822357896802816,317.087357,78,1
1763822362896802816,322.087357,78,1
1763822364896802816,324.087357,77,1
1763822371896802816,331.087357,76,1
1763822375896802816,335.087357,77,1
1763822382896802816,342.087357,74,1
1763822384896802816,344.087357,75,1
1763822391896802816,351.087357,73,1
1763822395896802816,355.087357,73,1
1763822398896802816,358.087357,74,1
