time,seconds_elapsed,bpm,Cybersickness
1763810897484453120,6.727380276,89,0
1763810902484453120,11.72738028,86,0
1763810907484453120,16.72738028,87,0
1763810912484453120,21.72738028,90,0
1763810916484453120,25.72738028,87,0
1763810918484453120,27.72738028,89,0
1763810926484453120,35.72738028,82,0
1763810928484453120,37.72738028,82,0
1763810933484453120,42.72738028,78,0
1763810939484453120,48.72738028,76,0
1763810944484453120,53.72738028,81,0
1763810953484453120,62.72738028,81,0
1763810954484453120,63.72738028,82,0
1763810963484453120,72.72738028,79,0
1763810965493843200,74.73677015,82,0
1763810968984453632,78.22738075,82,0
1763810970984453632,80.22738075,81,0
1763810978984453632,88.22738075,83,0
1763810981984453632,91.22738075,85,1
1763810988984453632,98.22738075,85,1
1763810990993870848,100.2367978,89,1
1763810989984453632,99.22738075,86,1
1763810995359453440,104.6023805,89,1
1763811001359453440,110.6023805,84,1
1763811009359453440,118.6023805,80,0
1763811014359453440,123.6023805,79,0
1763811015359453440,124.6023805,80,0
1763811024359453440,133.6023805,78,0
1763811025359453696,134.6023808,79,0
1763811030359453184,139.6023803,79,0
1763811039359453440,148.6023805,81,0
1763811040359453440,149.6023805,82,0
1763811049359453440,158.6023805,96,1
1763811052359453440,161.6023805,93,1
1763811057359453440,166.6023805,86,1
1763811060359453440,169.6023805,82,0
1763811069859453440,179.1023805,71,0
1763811072859453440,182.1023805,71,0
1763811076859453440,186.1023805,75,0
1763811080859453440,190.1023805,76,0
1763811089859453440,199.1023805,85,1
1763811092859453440,202.1023805,84,1
1763811099859453440,209.1023805,87,1
1763811102859453440,212.1023805,86,1
1763811105859453440,215.1023805,86,1
1763811110859453440,220.1023805,87,1
1763811115859453440,225.1023805,89,1
1763811124859453440,234.1023805,88,1
1763811129859453440,239.1023805,80,0
1763811134859453440,244.1023805,80,0
1763811139859453440,249.1023805,76,0
1763811140859453440,250.1023805,77,0
1763811147859453440,257.1023805,78,0
1763811153859453440,263.1023805,83,0
1763811155859453440,265.1023805,83,1
1763811160859453440,270.1023805,93,1
1763811167859453440,277.1023805,102,1
1763811174859453440,284.1023805,99,1
1763811179859453440,289.1023805,91,1
1763811184859453440,294.1023805,85,0
1763811188859453184,298.1023803,88,0
1763811193859453440,303.1023805,86,0
