time,seconds_elapsed,bpm,cybersickness
1764417454217859584,6.63244366645813,89.0,0
1764417459217859584,11.63244366645813,87.0,0
1764417464217859584,16.63244366645813,83.0,0
1764417466217859584,18.63244366645813,82.0,0
1764417474217859584,26.63244366645813,81.0,0
1764417479217859584,31.63244366645813,83.0,1
1764417480217859328,32.63244342803955,83.0,1
1764417489217859328,41.63244342803955,91.0,0
1764417491217859584,43.63244366645813,90.0,0
1764417495217859328,47.63244342803955,92.00000000000001,0
1764417504217859584,56.63244366645813,86.0,0
1764417509217859584,61.63244366645813,83.0,0
1764417512217859584,64.63244366645813,82.0,0
1764417516217859584,68.63244366645813,83.0,0
1764417520217859584,72.63244366645813,83.0,0
1764417528217859584,80.63244366645813,91.0,0
1764417534967859456,87.38244366645813,87.0,0
1764417535967859456,88.38244366645813,87.0,0
1764417544967859712,97.38244390487671,82.0,0
1764417547967859712,100.38244390487671,83.0,0
1764417554967859456,107.38244366645813,85.0,0
1764417556978429440,109.39301347732544,84.0,0
1764417559467859200,111.88244342803955,84.0,0
1764417565467859200,117.88244342803955,82.0,0
1764417566467859200,118.88244342803955,82.0,0
1764417573467859456,125.88244366645813,86.0,0
1764417577467859456,129.88244366645813,86.0,0
1764417582478334464,134.89291858673096,85.0,0
1764417583842859264,136.25744342803955,83.0,0
1764417590842859264,143.25744342803955,82.0,0
1764417595842859264,148.25744342803955,85.0,0
1764417598842859264,151.25744342803955,85.0,0
1764417601842859264,154.25744342803955,85.0,0
1764417608842859264,161.25744342803955,85.0,0
1764417614842859264,167.25744342803955,87.0,0
1764417616842859264,169.25744342803955,86.0,0
1764417624842859264,177.25744342803955,84.0,0
1764417627842859264,180.25744342803955,84.0,1
1764417632842859264,185.25744342803955,83.0,1
1764417636842859264,189.25744342803955,89.0,1
1764417645842859264,198.25744342803955,95.0,1
1764417648842859264,201.25744342803955,95.0,0
1764417655842859264,208.25744342803955,91.0,0
1764417660842859264,213.25744342803955,93.0,0
1764417662842859264,215.25744342803955,92.00000000000001,0
1764417671592859392,224.00744342803955,85.0,0
1764417676592859392,229.00744342803955,90.0,0
1764417680592859392,233.00744366645813,91.0,0
1764417682592859392,235.00744342803955,93.0,0
1764417691592859392,244.00744366645813,86.0,0
1764417693592859392,246.00744366645813,86.0,0
1764417701592859392,254.00744366645813,85.0,0
1764417705592859392,258.00744366645813,87.0,0
1764417708592859392,261.00744366645813,86.0,0
1764417712592859392,265.00744366645813,86.0,0
1764417717592859392,270.00744366645813,86.0,0
1764417726592859392,279.00744366645813,89.0,0
1764417729592859392,282.00744366645813,90.0,0
